model_name,condition,verification_status,count,total,rate
Llama-3.2-3B-Instruct,A,parse_error,1,1032,0.0009689922480620155
Llama-3.2-3B-Instruct,A,schema_error,228,1032,0.22093023255813954
Llama-3.2-3B-Instruct,A,success,802,1032,0.7771317829457365
Llama-3.2-3B-Instruct,A,unsafe_cartesian_product,1,1032,0.0009689922480620155
Llama-3.2-3B-Instruct,B,parse_error,1,1032,0.0009689922480620155
Llama-3.2-3B-Instruct,B,schema_error,209,1032,0.20251937984496124
Llama-3.2-3B-Instruct,B,success,821,1032,0.7955426356589147
Llama-3.2-3B-Instruct,B,unsafe_cartesian_product,1,1032,0.0009689922480620155
Llama-3.2-3B-Instruct,C,execution_error,2,1032,0.001937984496124031
Llama-3.2-3B-Instruct,C,parse_error,3,1032,0.0029069767441860465
Llama-3.2-3B-Instruct,C,schema_error,183,1032,0.17732558139534885
Llama-3.2-3B-Instruct,C,success,841,1032,0.814922480620155
Llama-3.2-3B-Instruct,C,unsafe_cartesian_product,3,1032,0.0029069767441860465
Llama-3.2-3B-Instruct,D,execution_error,2,1032,0.001937984496124031
Llama-3.2-3B-Instruct,D,parse_error,2,1032,0.001937984496124031
Llama-3.2-3B-Instruct,D,schema_error,123,1032,0.11918604651162791
Llama-3.2-3B-Instruct,D,success,902,1032,0.874031007751938
Llama-3.2-3B-Instruct,D,unsafe_cartesian_product,3,1032,0.0029069767441860465
Phi-4-mini-instruct,A,execution_error,3,1032,0.0029069767441860465
Phi-4-mini-instruct,A,execution_timeout,1,1032,0.0009689922480620155
Phi-4-mini-instruct,A,parse_error,7,1032,0.006782945736434108
Phi-4-mini-instruct,A,schema_error,68,1032,0.06589147286821706
Phi-4-mini-instruct,A,success,951,1032,0.9215116279069767
Phi-4-mini-instruct,A,unsafe_cartesian_product,2,1032,0.001937984496124031
Phi-4-mini-instruct,B,execution_error,3,1032,0.0029069767441860465
Phi-4-mini-instruct,B,execution_timeout,1,1032,0.0009689922480620155
Phi-4-mini-instruct,B,parse_error,6,1032,0.005813953488372093
Phi-4-mini-instruct,B,schema_error,82,1032,0.07945736434108527
Phi-4-mini-instruct,B,success,938,1032,0.9089147286821705
Phi-4-mini-instruct,B,unsafe_cartesian_product,2,1032,0.001937984496124031
Phi-4-mini-instruct,C,execution_error,1,1034,0.0009671179883945841
Phi-4-mini-instruct,C,execution_timeout,2,1034,0.0019342359767891683
Phi-4-mini-instruct,C,parse_error,3,1034,0.0029013539651837525
Phi-4-mini-instruct,C,schema_error,93,1034,0.08994197292069632
Phi-4-mini-instruct,C,success,933,1034,0.902321083172147
Phi-4-mini-instruct,C,unsafe_cartesian_product,2,1034,0.0019342359767891683
Phi-4-mini-instruct,D,execution_timeout,2,1031,0.0019398642095053346
Phi-4-mini-instruct,D,parse_error,3,1031,0.002909796314258002
Phi-4-mini-instruct,D,schema_error,70,1031,0.06789524733268672
Phi-4-mini-instruct,D,success,954,1031,0.9253152279340446
Phi-4-mini-instruct,D,unsafe_cartesian_product,2,1031,0.0019398642095053346
Qwen3-0.6B,A,execution_error,11,1032,0.01065891472868217
Qwen3-0.6B,A,parse_error,80,1032,0.07751937984496124
Qwen3-0.6B,A,schema_error,210,1032,0.20348837209302326
Qwen3-0.6B,A,success,722,1032,0.6996124031007752
Qwen3-0.6B,A,unsafe_cartesian_product,9,1032,0.00872093023255814
Qwen3-0.6B,B,execution_error,12,1032,0.011627906976744186
Qwen3-0.6B,B,parse_error,76,1032,0.07364341085271318
Qwen3-0.6B,B,schema_error,196,1032,0.18992248062015504
Qwen3-0.6B,B,success,746,1032,0.7228682170542635
Qwen3-0.6B,B,unsafe_cartesian_product,2,1032,0.001937984496124031
Qwen3-0.6B,C,execution_error,14,1033,0.013552758954501452
Qwen3-0.6B,C,parse_error,52,1033,0.05033881897386254
Qwen3-0.6B,C,schema_error,215,1033,0.20813165537270087
Qwen3-0.6B,C,success,746,1033,0.7221684414327202
Qwen3-0.6B,C,unsafe_cartesian_product,6,1033,0.005808325266214908
Qwen3-0.6B,D,execution_error,14,1033,0.013552758954501452
Qwen3-0.6B,D,parse_error,47,1033,0.04549854791868345
Qwen3-0.6B,D,schema_error,208,1033,0.20135527589545016
Qwen3-0.6B,D,success,758,1033,0.7337850919651501
Qwen3-0.6B,D,unsafe_cartesian_product,6,1033,0.005808325266214908
Qwen3-1.7B,A,execution_error,7,1029,0.006802721088435374
Qwen3-1.7B,A,execution_timeout,1,1029,0.0009718172983479105
Qwen3-1.7B,A,parse_error,19,1029,0.0184645286686103
Qwen3-1.7B,A,schema_error,126,1029,0.12244897959183673
Qwen3-1.7B,A,success,873,1029,0.8483965014577259
Qwen3-1.7B,A,unsafe_cartesian_product,3,1029,0.0029154518950437317
Qwen3-1.7B,B,execution_error,8,1029,0.007774538386783284
Qwen3-1.7B,B,execution_timeout,2,1029,0.001943634596695821
Qwen3-1.7B,B,parse_error,19,1029,0.0184645286686103
Qwen3-1.7B,B,schema_error,128,1029,0.12439261418853255
Qwen3-1.7B,B,success,871,1029,0.8464528668610302
Qwen3-1.7B,B,unsafe_cartesian_product,1,1029,0.0009718172983479105
Qwen3-1.7B,C,execution_error,14,1029,0.013605442176870748
Qwen3-1.7B,C,execution_timeout,2,1029,0.001943634596695821
Qwen3-1.7B,C,parse_error,14,1029,0.013605442176870748
Qwen3-1.7B,C,schema_error,120,1029,0.11661807580174927
Qwen3-1.7B,C,success,878,1029,0.8532555879494655
Qwen3-1.7B,C,unsafe_cartesian_product,1,1029,0.0009718172983479105
Qwen3-1.7B,D,execution_error,10,1029,0.009718172983479106
Qwen3-1.7B,D,execution_timeout,2,1029,0.001943634596695821
Qwen3-1.7B,D,parse_error,11,1029,0.010689990281827016
Qwen3-1.7B,D,schema_error,100,1029,0.09718172983479106
Qwen3-1.7B,D,success,905,1029,0.8794946550048591
Qwen3-1.7B,D,unsafe_cartesian_product,1,1029,0.0009718172983479105
Qwen3-4B-Instruct-2507,A,execution_error,3,1032,0.0029069767441860465
Qwen3-4B-Instruct-2507,A,parse_error,2,1032,0.001937984496124031
Qwen3-4B-Instruct-2507,A,schema_error,28,1032,0.027131782945736434
Qwen3-4B-Instruct-2507,A,success,997,1032,0.9660852713178295
Qwen3-4B-Instruct-2507,A,unsafe_cartesian_product,2,1032,0.001937984496124031
Qwen3-4B-Instruct-2507,B,execution_error,2,1032,0.001937984496124031
Qwen3-4B-Instruct-2507,B,schema_error,35,1032,0.03391472868217054
Qwen3-4B-Instruct-2507,B,success,993,1032,0.9622093023255814
Qwen3-4B-Instruct-2507,B,unsafe_cartesian_product,2,1032,0.001937984496124031
Qwen3-4B-Instruct-2507,C,execution_error,1,1032,0.0009689922480620155
Qwen3-4B-Instruct-2507,C,schema_error,25,1032,0.02422480620155039
Qwen3-4B-Instruct-2507,C,success,1004,1032,0.9728682170542635
Qwen3-4B-Instruct-2507,C,unsafe_cartesian_product,2,1032,0.001937984496124031
Qwen3-4B-Instruct-2507,D,execution_error,1,1032,0.0009689922480620155
Qwen3-4B-Instruct-2507,D,schema_error,16,1032,0.015503875968992248
Qwen3-4B-Instruct-2507,D,success,1013,1032,0.9815891472868217
Qwen3-4B-Instruct-2507,D,unsafe_cartesian_product,2,1032,0.001937984496124031
SmolLM3-3B,A,empty_output,5,1034,0.004835589941972921
SmolLM3-3B,A,execution_error,5,1034,0.004835589941972921
SmolLM3-3B,A,execution_timeout,2,1034,0.0019342359767891683
SmolLM3-3B,A,non_select_query,64,1034,0.061895551257253385
SmolLM3-3B,A,parse_error,536,1034,0.5183752417794971
SmolLM3-3B,A,schema_error,69,1034,0.06673114119922631
SmolLM3-3B,A,success,350,1034,0.33849129593810445
SmolLM3-3B,A,unsafe_cartesian_product,3,1034,0.0029013539651837525
SmolLM3-3B,B,empty_output,6,1034,0.005802707930367505
SmolLM3-3B,B,execution_error,9,1034,0.008704061895551257
SmolLM3-3B,B,execution_timeout,1,1034,0.0009671179883945841
SmolLM3-3B,B,non_select_query,61,1034,0.05899419729206963
SmolLM3-3B,B,parse_error,514,1034,0.49709864603481624
SmolLM3-3B,B,schema_error,66,1034,0.06382978723404255
SmolLM3-3B,B,success,373,1034,0.3607350096711799
SmolLM3-3B,B,unsafe_cartesian_product,4,1034,0.0038684719535783366
SmolLM3-3B,C,empty_output,7,1032,0.006782945736434108
SmolLM3-3B,C,execution_error,10,1032,0.009689922480620155
