model_name,condition,n_examples,execution_accuracy,executable_query_rate,exact_match_accuracy,median_generation_latency_sec,mean_generation_latency_sec,p95_generation_latency_sec,mean_prompt_input_chars,mean_schema_context_chars,mean_schema_compression_ratio,gold_table_recall,gold_column_recall,pruning_failure_rate,mean_model_load_gpu_reserved_delta_mb,mean_runtime_gpu_peak_delta_mb,mean_runtime_cpu_delta_mb,repair_attempt_rate,mean_repair_latency_sec,accuracy_score,exec_rate_score,latency_score,memory_score,resource_aware_score,resource_aware_rank
SmolLM3-3B,B,1034,0.11798839458413926,0.3607350096711799,0.05609284332688588,21.673369455500506,16.6873607621731,23.17221100120032,754.7582205029014,494.80657640232107,0.8874255112499787,0.9787234042553191,0.7862669245647969,0.2205029013539652,1590.0,0.0,0.0010464518858800773,0.0,0.0,0.0,0.0,0.0,0.8836098541980895,0.08836098541980895,10
Qwen3-4B-Instruct-2507,C,1032,0.47189922480620156,0.9728682170542635,0.09593023255813954,4.863340990501456,5.234812534095923,9.752244570496986,1461.8953488372092,1202.09496124031,2.1917209039878234,0.9786821705426356,0.7858527131782945,0.22093023255813954,2228.0,0.4219242066375969,0.0,0.0,0.0,0.9119047619047619,1.0,0.8406094870807357,0.8034188034188035,0.9044161587104085,1
Gemma-4-E4B-it,C,1032,0.5077519379844961,0.9253875968992248,0.10368217054263566,7.544972071000302,8.290014197268354,15.918348255349699,1461.8953488372092,1202.09496124031,2.1917209039878234,0.9786821705426356,0.7858527131782945,0.22093023255813954,8620.0,0.1549819828003876,0.0001665455426356589,0.0,0.0,1.0,0.9327846364883404,0.7115296353701301,0.0,0.8288628543716942,2
Gemma-4-E2B-it,C,1031,0.4481086323957323,0.9010669253152279,0.06595538312318137,7.2357733710014145,8.817940141118445,32.36961258249539,1462.152279340446,1202.3860329776915,2.191923913999046,0.979631425800194,0.7866149369544132,0.22017458777885549,6146.0,0.2978719272854025,0.02238042555771096,0.0,0.0,0.8534478776961802,0.8983553730114063,0.7264128617151739,0.31096028154851685,0.7827736139482578,3
Llama-3.2-3B-Instruct,C,1032,0.3391472868217054,0.814922480620155,0.1182170542635659,2.99816881350489,3.299913734230704,6.277740990498568,1461.8953488372092,1202.09496124031,2.1917209039878234,0.9786821705426356,0.7858527131782945,0.22093023255813954,1814.0,0.11502855877543605,0.0,0.0,0.0,0.5857142857142856,0.7764060356652951,0.9303892296308099,0.855455002513826,0.7197616961677465,4
Qwen3-1.7B,C,1029,0.3129251700680272,0.8532555879494655,0.09620991253644315,2.6087363839978934,3.3420557646462137,7.222582298002067,1462.584062196307,1202.7677356656948,2.192369750854492,0.9786200194363459,0.7852283770651117,0.22157434402332363,2754.0,0.0,-0.0009566326530612245,0.0,0.0,0.5212827988338192,0.8306718336952655,0.9491344927721936,0.7373051784816491,0.6903331825585663,5
Phi-4-mini-instruct,C,1034,0.29690522243713735,0.902321083172147,0.02127659574468085,4.05786617999911,4.283461825744651,7.480292329098665,1465.7930367504835,1205.8413926499034,2.190738876853488,0.9787234042553191,0.7862669245647969,0.2205029013539652,2558.0,0.2004408698017408,4.9111460348162474e-05,0.0,0.0,0.48191949894077557,0.9001308063561808,0.8793808788103281,0.7619406737053795,0.6730561538742275,6
Granite-3.3-2B-Instruct,C,1033,0.2884801548886738,0.8102613746369797,0.03969022265246854,5.189236166999763,5.662835961705738,11.561956413400912,1463.8518877057115,1203.9699903194578,2.1912294150929044,0.978702807357212,0.7860600193610843,0.2207163601161665,1058.0,0.3182043350677638,0.0002987354791868345,0.0,0.0,0.4612179043931222,0.7698075975656559,0.8249225787056367,0.9504776269482151,0.6446027501456412,7
Qwen3-0.6B,C,1033,0.1345595353339787,0.7221684414327202,0.05033881897386254,1.552006590000019,3.3231212571820246,20.206630568400303,1466.3552758954502,1206.3717328170378,2.190464970431733,0.978702807357212,0.7860600193610843,0.2207163601161665,1044.0,0.0,0.00012478823814133591,0.0,0.0,0.08301295348730008,0.6450999061160045,1.0,0.9522373051784816,0.4657501884846991,8
Llama-3.2-1B-Instruct,C,1032,0.15213178294573643,0.5213178294573644,0.05426356589147287,1.9085267549999116,2.059064513240136,4.244029807147671,1461.9980620155038,1202.1511627906978,2.190567750607356,0.9786821705426356,0.7858527131782945,0.22093023255813954,664.0,0.1767346286034399,0.0,0.0,0.0,0.1261904761904762,0.3607681755829905,0.9828389630606958,1.0,0.4318166658239754,9
SmolLM3-3B,C,1032,0.10077519379844961,0.26647286821705424,0.04844961240310078,22.326984597497358,19.67016773400966,24.983059366901216,1464.5048449612402,1204.5794573643411,2.189281738993444,0.9786821705426356,0.7858527131782945,0.22093023255813954,1590.0,0.23841846081637597,0.0012528766957364342,0.0,0.0,0.0,0.0,0.0,0.8836098541980895,0.08836098541980895,10
Qwen3-4B-Instruct-2507,D,1032,0.4738372093023256,0.9815891472868217,0.09593023255813954,4.853953877503955,5.236577645080467,9.73792774659705,1461.8953488372092,1202.09496124031,2.1917209039878234,0.9786821705426356,0.7858527131782945,0.22093023255813954,2228.0,0.0,-0.00014761991279069767,0.027131782945736434,0.19989025704456767,0.8657074340527577,1.0,0.8397697272375801,0.8034188034188035,0.8811495428157753,1
Gemma-4-E4B-it,D,1032,0.5281007751937985,0.9573643410852714,0.10368217054263566,7.525422876002267,8.297078061841146,15.96278354299965,1461.8953488372092,1202.09496124031,2.1917209039878234,0.9786821705426356,0.7858527131782945,0.22093023255813954,8620.0,0.0032712951187015503,0.00023089268410852714,0.07461240310077519,0.9863218382257655,1.0,0.9615975422427034,0.7112635717722966,0.0,0.834572222803,2
Gemma-4-E2B-it,D,1031,0.4742967992240543,0.9612027158098934,0.06595538312318137,7.231318661999467,8.824307938004004,32.632007880002675,1462.152279340446,1202.3860329776915,2.191923913999046,0.979631425800194,0.7866149369544132,0.22017458777885549,6146.0,0.0007482874636275461,0.018784856935014548,0.09893307468477207,0.8687004443598751,0.8668448364489785,0.9676823390411826,0.7254109198676268,0.31096028154851685,0.8031370981611028,3
Llama-3.2-3B-Instruct,D,1032,0.35174418604651164,0.874031007751938,0.1182170542635659,3.0017472639992775,3.2985636778264804,6.243184185951395,1461.8953488372092,1202.09496124031,2.1917209039878234,0.9786821705426356,0.7858527131782945,0.22093023255813954,1814.0,0.0,0.0,0.18507751937984496,0.8456706027887113,0.5635491606714628,0.8294930875576038,0.9288667563113422,0.855455002513826,0.7189920493609032,4
Qwen3-1.7B,D,1029,0.31681243926141883,0.8794946550048591,0.09620991253644315,2.61055381800179,3.3398631967550236,7.169014949800466,1462.584062196307,1202.7677356656948,2.192369750854492,0.9786200194363459,0.7852283770651117,0.22157434402332363,2754.0,0.0,0.0,0.1467444120505345,0.7886679755597606,0.4770993700666288,0.8381543532488702,0.9476844052590228,0.7373051784816491,0.6694479545830578,5
Phi-4-mini-instruct,D,1031,0.30164888457807953,0.9253152279340446,0.02133850630455868,4.075704278999183,4.269867008076464,7.395809474499401,1460.0678952473327,1200.2725509214356,2.1910590744435057,0.9786614936954413,0.7856450048496605,0.22114451988360814,2558.0,0.0006583035281280311,0.000178073472356935,0.09602327837051407,1.1513973627496898,0.4395722994834006,0.9107915748508972,0.8772060081573535,0.7619406737053795,0.6535797337138884,6
Granite-3.3-2B-Instruct,D,1033,0.2952565343659245,0.8499515972894482,0.04065827686350436,5.161866751997877,5.668040943222685,11.593276900800992,1463.8518877057115,1203.9699903194578,2.1912294150929044,0.978702807357212,0.7860600193610843,0.2207163601161665,1058.0,0.062257986447241044,0.0005104973378509196,0.18973862536302033,1.7816068853126803,0.4237523824115924,0.7913211188981729,0.8249581386540252,0.9504776269482151,0.6301798054110573,7
Qwen3-0.6B,D,1033,0.1345595353339787,0.7337850919651501,0.05033881897386254,1.5229834289998507,3.3201657615566424,20.23591835900006,1466.3552758954502,1206.3717328170378,2.190464970431733,0.978702807357212,0.7860600193610843,0.2207163601161665,1044.0,0.0,4.537754114230397e-05,0.27783155856727976,1.8774556226882868,0.026056212145482094,0.607167764835691,1.0,0.9522373051784816,0.4296853895577274,8
Llama-3.2-1B-Instruct,D,1032,0.1618217054263566,0.5901162790697675,0.0562015503875969,1.9122974594974949,2.057455305565904,4.224543530502339,1461.9980620155038,1202.1511627906978,2.190567750607356,0.9786821705426356,0.7858527131782945,0.22093023255813954,664.0,0.0,5.677688953488372e-05,0.4786821705426357,1.2309571221307998,0.09352517985611512,0.37941628264208915,0.9812727569153642,1.0,0.41890039783954824,9
SmolLM3-3B,D,1032,0.12403100775193798,0.3507751937984496,0.0562015503875969,22.31162961350128,19.674227240319897,24.865607315049782,1464.5048449612402,1204.5794573643411,2.189281738993444,0.9786821705426356,0.7858527131782945,0.22093023255813954,1590.0,0.0,0.001143108042635659,0.7335271317829457,15.65029168253095,0.0,0.0,0.0,0.8836098541980895,0.08836098541980895,10
